tag,seed,mean_f1,mean_roc_auc,mean_apcer,mean_bpcer,mean_acer
baseline,101,0.7566900311595589,0.8919530577170568,0.3497361081691732,0.11123277768327941,0.2304844429262263
baseline,123,0.7308548509169419,0.905616911124443,0.33974087410859277,0.1528214832454499,0.24628117867702137
baseline,202,0.7646697504523516,0.8893101881344625,0.320412342017934,0.15920011906786863,0.23980623054290134
baseline,456,0.7254026306409398,0.8756045603596606,0.3804190496363764,0.1383632420479673,0.2593911458421719
baseline,789,0.7695798533113465,0.8950819967187129,0.32001518039963284,0.13379188637523387,0.22690353338743335
robust,101,0.8306652866583264,0.9355187894683814,0.27004342300360085,0.06045883653682593,0.16525112977021342
robust,123,0.8501197937504765,0.9334859203785556,0.23687601496858007,0.07349251573396831,0.15518426535127422
robust,202,0.8287397928539793,0.939551994188336,0.2760405634399491,0.04926433066848099,0.16265244705421505
robust,456,0.8441179101037214,0.9393864538840588,0.25127533008543385,0.056982480013607714,0.15412890504952076
robust,789,0.8623793388641277,0.9466915903503251,0.21769310880463175,0.07102610988263305,0.1443596093436324
