exp,metric,mean,sd
E01_baseline,accuracy,0.8053,0.0216
E01_baseline,precision,0.9865,0.0026
E01_baseline,recall,0.7344,0.0291
E01_baseline,f1,0.8417,0.0201
E01_baseline,roc_auc,0.9623,0.0096
E01_baseline,pr_auc,0.9839,0.0042
E01_baseline,apcer,0.2656,0.0291
E01_baseline,bpcer,0.0241,0.0038
E01_baseline,acer,0.1448,0.0163
E07_robust,accuracy,0.8175,0.0118
E07_robust,precision,0.9779,0.0034
E07_robust,recall,0.759,0.019
E07_robust,f1,0.8545,0.0111
E07_robust,roc_auc,0.9536,0.0028
E07_robust,pr_auc,0.98,0.0012
E07_robust,apcer,0.241,0.019
E07_robust,bpcer,0.0414,0.0075
E07_robust,acer,0.1412,0.0069
