,,,f1,f1,roc_auc,roc_auc,apcer,apcer,bpcer,bpcer,acer,acer
,,,mean,std,mean,std,mean,std,mean,std,mean,std
tag,condition,severity,,,,,,,,,,
baseline,blur,light,0.8484,0.031,0.9401,0.0115,0.2443,0.0498,0.0586,0.0087,0.1514,0.0219
baseline,blur,medium,0.8334,0.0274,0.8298,0.0271,0.1785,0.063,0.3564,0.0796,0.2675,0.0244
baseline,blur,strong,0.8256,0.0164,0.7625,0.03,0.1234,0.0432,0.5929,0.0703,0.3581,0.0224
baseline,brightness,bright,0.6404,0.0422,0.8795,0.0224,0.5213,0.0447,0.0339,0.0074,0.2776,0.0259
baseline,brightness,dark,0.8412,0.0184,0.8426,0.0212,0.1795,0.0369,0.3121,0.0418,0.2458,0.0185
baseline,brightness,normal,0.8406,0.0205,0.9631,0.0088,0.2676,0.0304,0.0231,0.0044,0.1453,0.0159
baseline,jpeg,30,0.5234,0.0466,0.9069,0.0138,0.6431,0.0436,0.0094,0.0022,0.3262,0.021
baseline,jpeg,50,0.6602,0.029,0.9338,0.0122,0.504,0.0334,0.0131,0.0034,0.2586,0.0155
baseline,jpeg,70,0.7504,0.0228,0.9484,0.0117,0.3948,0.0292,0.0172,0.0038,0.206,0.0148
baseline,jpeg,90,0.8404,0.02,0.963,0.0088,0.2679,0.0297,0.0232,0.0043,0.1456,0.0156
baseline,noise,high,0.4076,0.1609,0.7946,0.0425,0.7304,0.122,0.0313,0.0372,0.3808,0.0573
baseline,noise,low,0.8241,0.0274,0.9663,0.0059,0.2922,0.0414,0.0212,0.0087,0.1567,0.0172
baseline,noise,medium,0.6358,0.1563,0.9191,0.0195,0.5155,0.1596,0.0182,0.0123,0.2668,0.0747
baseline,resize,25,0.8277,0.0251,0.809,0.0247,0.1714,0.06,0.4134,0.0789,0.2924,0.0222
baseline,resize,50,0.8431,0.0331,0.882,0.0186,0.2078,0.0655,0.204,0.0509,0.2059,0.0189
baseline,resize,75,0.8487,0.0328,0.9236,0.0133,0.2316,0.0562,0.0972,0.0186,0.1644,0.0206
robust,blur,light,0.8638,0.0118,0.949,0.0044,0.2236,0.0198,0.0504,0.0078,0.137,0.0086
robust,blur,medium,0.8532,0.0087,0.9325,0.003,0.2337,0.0153,0.0719,0.0086,0.1528,0.0054
robust,blur,strong,0.8294,0.0135,0.9108,0.0018,0.2645,0.0224,0.091,0.011,0.1777,0.0086
robust,brightness,bright,0.7648,0.0344,0.9204,0.0063,0.3679,0.0484,0.0453,0.0157,0.2066,0.0176
robust,brightness,dark,0.8822,0.0181,0.9136,0.0103,0.135,0.0603,0.2278,0.0977,0.1814,0.0224
robust,brightness,normal,0.8609,0.015,0.9561,0.0051,0.2316,0.024,0.0395,0.007,0.1356,0.0115
robust,jpeg,30,0.7858,0.0214,0.9336,0.0099,0.3446,0.0294,0.0291,0.0068,0.1868,0.0149
robust,jpeg,50,0.8167,0.0204,0.9423,0.0083,0.3002,0.0299,0.0324,0.0059,0.1663,0.0144
robust,jpeg,70,0.837,0.0181,0.948,0.0067,0.2694,0.0277,0.0354,0.0072,0.1524,0.0134
robust,jpeg,90,0.8605,0.0148,0.9558,0.0052,0.2322,0.0237,0.0394,0.0067,0.1358,0.0114
robust,noise,high,0.8436,0.0182,0.9479,0.0068,0.2588,0.0281,0.0372,0.0076,0.148,0.0137
robust,noise,low,0.8619,0.0147,0.9561,0.0051,0.2299,0.024,0.0397,0.0066,0.1348,0.011
robust,noise,medium,0.8611,0.0156,0.9551,0.0055,0.2312,0.0253,0.0397,0.0073,0.1355,0.0119
robust,resize,25,0.8427,0.0151,0.9169,0.0027,0.2432,0.0263,0.0936,0.0107,0.1684,0.009
robust,resize,50,0.8626,0.0082,0.9391,0.0034,0.2203,0.0148,0.0672,0.0076,0.1437,0.0052
robust,resize,75,0.8649,0.0103,0.9457,0.0042,0.2201,0.0176,0.0563,0.0076,0.1382,0.0073
