condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.9867763957729355,0.9977671603394782,0.9986669807890559,0.009127789046653144,0.03309321731688182,0.021110503181767482,0.9826046305636887
jpeg,90,0.9865873505808407,0.9977448398594571,0.9986552308903567,0.009465855307640297,0.03316453890592683,0.021315197106783562,0.9823585857343208
jpeg,70,0.9746751146374413,0.9956661512233833,0.9973874117579374,0.037900984148448655,0.022965551672491265,0.03043326791046996,0.967251433211131
jpeg,50,0.9506558400999375,0.9931977630536284,0.9958778652649383,0.08526782360453761,0.01840096997361101,0.05183439678907431,0.9377998671357921
jpeg,30,0.8910600070377347,0.9890134827915784,0.9933520003116694,0.19149575539027872,0.011768062192425648,0.10163190879135219,0.8705066063036685
resize,75,0.9678916686464063,0.994441528033888,0.9967547289129489,0.00525880850424461,0.11532700948577135,0.06029290899500798,0.9567699234800581
resize,50,0.9338815267067813,0.9848731898021048,0.9914598650928459,0.00601006686199384,0.25583053990442906,0.13092030338321145,0.9078070024358438
resize,25,0.8671985291703601,0.9405059520092346,0.9664078997289403,0.007813086920591992,0.5621567648527209,0.28498492588665647,0.8009497330413602
blur,light,0.9785276073619632,0.9963821693969879,0.997874511791008,0.0054466230936819175,0.07253405605876899,0.038990339576225455,0.9714095908274487
blur,medium,0.8966920429305346,0.9646464586794963,0.9802458116021584,0.0067237623018556085,0.4217958776121532,0.2142598199570044,0.8500848854661319
blur,strong,0.8488884599298652,0.9160921517366567,0.9523283943070565,0.008864848621440914,0.6531631124741459,0.3310139805477934,0.7688654872917846
noise,low,0.9849065104753323,0.9971959754648804,0.99832356781816,0.014649537976109983,0.029527137864631625,0.022088337920370803,0.98021799571882
noise,medium,0.9282557630290241,0.986896380640197,0.9925422091169972,0.12422056945383518,0.021182511946366164,0.07270154070010067,0.9113254434958049
noise,high,0.8486659551760939,0.9638110527952237,0.9798661379577551,0.2532491923972654,0.024819912987661365,0.13903455269246337,0.8255542159781513
brightness,dark,0.9190195140107407,0.9627539383584829,0.9788402985320638,0.026143790849673203,0.2762285143713002,0.1511861526104867,0.8875821174618015
brightness,normal,0.9867763957729355,0.9977671603394782,0.9986669807890559,0.009127789046653144,0.03309321731688182,0.021110503181767482,0.9826046305636887
brightness,bright,0.798478066248881,0.9744458473006117,0.9847805060682697,0.3299526707234618,0.015690749589900865,0.17282171015668132,0.7784612356371331
