condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.8541574922935266,0.9682202308680347,0.9861272929982383,0.2467697521711502,0.025174349379146112,0.13597205077514815,0.8182317134018561
jpeg,90,0.8534230661378841,0.9679806383234433,0.9860579893645345,0.24789945632987362,0.025174349379146112,0.13653690285450987,0.8174333898812494
jpeg,70,0.7738085015027909,0.9523838176124437,0.9791728045020716,0.36376473910894586,0.01973124681068209,0.19174799295981398,0.7371519808402355
jpeg,50,0.7012927895120175,0.9406009674473003,0.9737158630358187,0.4561180540845866,0.017349889436979078,0.23673397176078284,0.6725875661111665
jpeg,30,0.582823002240478,0.915756705603773,0.9629149348859007,0.5867400974369837,0.011736689913250553,0.2992383936751172,0.5819279513022653
resize,75,0.8613381891441634,0.9326308027631105,0.9687291197423847,0.21513803572689402,0.0904915802007144,0.1528148079638042,0.821425007484283
resize,50,0.8551641522854041,0.8883179277470937,0.9446750020707348,0.19353244369130834,0.19186936553835687,0.1927009046148326,0.8069553936732861
resize,25,0.8384823462414579,0.816644735893161,0.9076999608755805,0.1683259196497917,0.3663888416397347,0.2673573806447632,0.7735754914679174
blur,light,0.8590445433421291,0.9488187112944007,0.9770557147015504,0.2299654028101391,0.05477121959516924,0.14236831120265417,0.821425007484283
blur,medium,0.8380400157485951,0.8203602608595281,0.9082229707849446,0.17340958836404716,0.3519306004422521,0.26267009440314965,0.7742241293284103
blur,strong,0.8322919765942676,0.7502900973967503,0.8735997319213153,0.11120525312433806,0.5949991495152237,0.3531022013197809,0.74688154874763
noise,low,0.850132732684418,0.9694120745202651,0.9866400939075914,0.2538304031631716,0.0222827011396496,0.1380565521514106,0.8140904101387088
noise,medium,0.684339352514663,0.9245721667648661,0.9686107624030302,0.4768763680011297,0.013777853376424561,0.24532711068877713,0.6589661710408143
noise,high,0.39740918051253166,0.7887771727123747,0.9076272858573902,0.7509002330014828,0.010886205136928048,0.3808932190692054,0.46617104081429
brightness,dark,0.8409551374819103,0.8413486914682511,0.9251559960646992,0.1794111417072654,0.3155298520156489,0.24747049686145717,0.7806606127133021
brightness,normal,0.8541574922935266,0.9682202308680347,0.9861272929982383,0.2467697521711502,0.025174349379146112,0.13597205077514815,0.8182317134018561
brightness,bright,0.6905751747453058,0.8951969462246097,0.9540477247054637,0.46635599802301775,0.02857628848443613,0.24746614325372693,0.6620596746831654
