condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.9830572006897069,0.9969436427262366,0.9982546409984261,0.014874915483434753,0.03623136723486199,0.025553141359148372,0.9777575474251409
jpeg,90,0.9829618938726546,0.99692957237143,0.9982460423133762,0.01506273007287206,0.03623136723486199,0.025647048653867025,0.9776345250104569
jpeg,70,0.9795426289417172,0.9962216007154684,0.9978200432853253,0.023364134926001052,0.03309321731688182,0.028228676121441434,0.9732795315306448
jpeg,50,0.9752557787040546,0.9955337781719408,0.9974170524430407,0.03324318233040342,0.030026388987946653,0.03163478565917504,0.9678665452845508
jpeg,30,0.967369266669217,0.994322019766105,0.9967257673852468,0.05010893246187364,0.02653163112474146,0.03832028179330755,0.9580247521098344
resize,75,0.980589584382167,0.996146319494968,0.997823353337451,0.012283074149199909,0.0509236145781328,0.03160334436366635,0.9743867332628005
resize,50,0.9783110119047619,0.995530058315191,0.9974813626532107,0.012207948313424987,0.0599814563868483,0.03609470235013664,0.9713111728957016
resize,25,0.9703503042897432,0.9921816554496844,0.9956116327626341,0.01776726016076929,0.08023678767562942,0.049002023918199356,0.9606820362670079
blur,light,0.9815105333930972,0.9964164585194502,0.9979655576071992,0.012959206671174216,0.04600242493402753,0.02948081580260087,0.9756415618925768
blur,medium,0.9757494606858588,0.9947258043893517,0.9970382300009973,0.014574412140335061,0.06533057556522359,0.039952493852779325,0.9679157542504244
blur,strong,0.9676807850279704,0.990612897957763,0.9947459879088554,0.02208699571782736,0.08209114899079951,0.05208907235431344,0.9572128041729203
noise,low,0.9831721759988007,0.9969393080282021,0.9982588618191088,0.014611975058222523,0.036302688823907,0.02545733194106476,0.9779051743227616
noise,medium,0.9828042079996999,0.9967872145118446,0.9981690612276649,0.015663736759071446,0.03566079452250196,0.025662265640786705,0.9774376891469626
noise,high,0.9780851344476059,0.9957086248344088,0.9975531841426125,0.025129592066711743,0.035232864988231936,0.03018122852747184,0.971384986344512
brightness,dark,0.944554884880905,0.9804657435860226,0.9890469580856737,0.018368266846968673,0.18393837814706512,0.1011533224970169,0.9245134463499249
brightness,normal,0.9830572006897069,0.9969436427262366,0.9982546409984261,0.014874915483434753,0.03623136723486199,0.025553141359148372,0.9777575474251409
brightness,bright,0.9571090589941235,0.9875914754567869,0.9926274259290829,0.05784689354669071,0.05049568504386278,0.054171289295276745,0.9446891223580937
