condition,severity,f1,roc_auc,pr_auc,apcer,bpcer,acer,accuracy
clean,-,0.8599397590361446,0.9555050541062164,0.9808996321052286,0.23398997387559134,0.037421330158190165,0.13570565201689075,0.8236702923859894
jpeg,90,0.8597367586425626,0.9552120412935311,0.9807803875113313,0.23441361293511262,0.03708113624766117,0.1357473745913869,0.8234707115058377
jpeg,70,0.8384957541447634,0.9481145918074807,0.9778854312460137,0.26795170514721456,0.03384929409763565,0.1509004996224251,0.8007184911685461
jpeg,50,0.8195170115604559,0.9434521181274413,0.9761470719282318,0.29675916119466217,0.031297839768668144,0.16402850048166515,0.7811096696936434
jpeg,30,0.7897804054054054,0.9343529758866458,0.9724521094618288,0.33975852573607285,0.028236094573907126,0.18399731015499,0.7516215946512325
resize,75,0.8653838617392327,0.9449774661467367,0.9765561821267229,0.22043352397091012,0.05324034699778874,0.13683693548434944,0.8286099191697436
resize,50,0.8624032522867642,0.9384807664876499,0.9738156460483094,0.22113958907011227,0.0659976186426263,0.14356860385636927,0.8243688254665203
resize,25,0.8360330316023503,0.9171252516850654,0.9643567143523825,0.25658405705006,0.08436808981119238,0.17047607343062618,0.7939327412433889
blur,light,0.8644187691582174,0.948485284992026,0.9779834249770164,0.22346960389747936,0.04847763225038272,0.13597361807393105,0.8278614908691747
blur,medium,0.8501123861351,0.9324078980473223,0.9711793195781869,0.23893242957000635,0.07093043034529682,0.15493142995765158,0.8103482686358647
blur,strong,0.8206760404496193,0.9115121542459319,0.9618153744402886,0.28087269646261387,0.08045585984010886,0.18066427815136138,0.7779163756112164
noise,low,0.8610231232182451,0.9555075581812834,0.9809296762556591,0.2322954176375062,0.037421330158190165,0.1348583738978482,0.8248677776668996
noise,medium,0.8590582728390654,0.9536350624890431,0.980287706665397,0.23547271058391583,0.03708113624766117,0.1362769234157885,0.822722283205269
noise,high,0.8391371091540761,0.9437691328299169,0.9766700292348972,0.2666807879686507,0.03486987582922266,0.15077533189893666,0.8013172338090011
brightness,dark,0.8887186781923624,0.9206323919680465,0.9640297714049672,0.139800889642025,0.18217383908828033,0.16098736436515265,0.8477696836643049
brightness,normal,0.8599397590361446,0.9555050541062164,0.9808996321052286,0.23398997387559134,0.037421330158190165,0.13570565201689075,0.8236702923859894
brightness,bright,0.7914523480951784,0.9270135138506036,0.9675600283459863,0.3318505966250088,0.04881782616091172,0.19033421139296028,0.7511725376708911
